prefix	length	first	prediction	default	accuracy	upper_bound	num_captured	num_captured_correct	num_not_captured
	0	-1		1	0.752800771251	1.0	0	0	30081
4,	1	4	0,	1	0.786376782687	0.999468102789	1042	1026	29039
12,	1	12	0,	1	0.788338153652	0.999434859213	1103	1086	28978
45,	1	45	0,	1	0.778431568099	0.999734051395	787	779	29294
90,	1	90	1,	1	0.752800771251	0.999102423457	4691	4664	25390
157,	1	157	1,	1	0.752800771251	0.999667564243	2871	2861	27210
158,	1	158	0,	1	0.785213257538	0.999434859213	1009	992	29072
168,	1	168	0,	1	0.788338153652	0.999434859213	1103	1086	28978
223,	1	223	1,	1	0.752800771251	0.99900269273	2466	2436	27615
229,	1	229	0,	1	0.781922143546	0.999667564243	896	886	29185
4, 12	2	4	0, 0	1	0.788338153652	0.999434859213	1103	1086	28978
4, 157	2	4	0, 1	1	0.786376782687	0.999268641335	3908	3886	26173
4, 168	2	4	0, 0	1	0.788338153652	0.999434859213	1103	1086	28978
4, 229	2	4	0, 0	1	0.788105448622	0.999434859213	1096	1079	28985
12, 157	2	12	0, 1	1	0.788338153652	0.999235397759	3969	3946	26112
45, 12	2	45	0, 0	1	0.788338153652	0.999434859213	1103	1086	28978
45, 157	2	45	0, 1	1	0.778431568099	0.999401615638	3658	3640	26423
45, 158	2	45	0, 0	1	0.787207872079	0.999434859213	1069	1052	29012
45, 168	2	45	0, 0	1	0.788338153652	0.999434859213	1103	1086	28978
45, 229	2	45	0, 0	1	0.784548386024	0.999634320668	977	966	29104
45, 4	2	45	0, 0	1	0.787773012865	0.999434859213	1086	1069	28995
90, 157	2	90	1, 1	1	0.752800771251	0.99900269273	4797	4767	25284
158, 12	2	158	0, 0	1	0.788338153652	0.999434859213	1103	1086	28978
158, 157	2	158	0, 1	1	0.785213257538	0.999202154184	3876	3852	26205
158, 168	2	158	0, 0	1	0.788338153652	0.999434859213	1103	1086	28978
158, 229	2	158	0, 0	1	0.787706525714	0.999434859213	1084	1067	28997
158, 4	2	158	0, 0	1	0.787673282138	0.999434859213	1083	1066	28998
168, 157	2	168	0, 1	1	0.788338153652	0.999235397759	3969	3946	26112
229, 12	2	229	0, 0	1	0.788338153652	0.999434859213	1103	1086	28978
229, 157	2	229	0, 1	1	0.781922143546	0.999401615638	3764	3746	26317
229, 168	2	229	0, 0	1	0.788338153652	0.999434859213	1103	1086	28978
229, 90	2	229	0, 1	1	0.781922143546	0.99900269273	5579	5549	24502
4, 157, 12	3	4	0, 1, 0	1	0.788338153652	0.999235397759	3969	3946	26112
4, 157, 158	3	4	0, 1, 0	1	0.787673282138	0.999235397759	3949	3926	26132
4, 157, 168	3	4	0, 1, 0	1	0.788338153652	0.999235397759	3969	3946	26112
4, 157, 229	3	4	0, 1, 0	1	0.788105448622	0.999235397759	3962	3939	26119
4, 157, 45	3	4	0, 1, 0	1	0.787773012865	0.999235397759	3952	3929	26129
4, 229, 12	3	4	0, 0, 0	1	0.788338153652	0.999434859213	1103	1086	28978
4, 229, 168	3	4	0, 0, 0	1	0.788338153652	0.999434859213	1103	1086	28978
45, 157, 12	3	45	0, 1, 0	1	0.788238422925	0.999135667032	3969	3943	26112
45, 157, 168	3	45	0, 1, 0	1	0.788238422925	0.999135667032	3969	3943	26112
45, 158, 12	3	45	0, 0, 0	1	0.788338153652	0.999434859213	1103	1086	28978
45, 158, 168	3	45	0, 0, 0	1	0.788338153652	0.999434859213	1103	1086	28978
45, 229, 12	3	45	0, 0, 0	1	0.788338153652	0.999434859213	1103	1086	28978
45, 229, 158	3	45	0, 0, 0	1	0.787972474319	0.999434859213	1092	1075	28989
45, 229, 168	3	45	0, 0, 0	1	0.788338153652	0.999434859213	1103	1086	28978
45, 229, 4	3	45	0, 0, 0	1	0.788205179349	0.999434859213	1099	1082	28982
45, 4, 12	3	45	0, 0, 0	1	0.788338153652	0.999434859213	1103	1086	28978
45, 4, 168	3	45	0, 0, 0	1	0.788338153652	0.999434859213	1103	1086	28978
158, 157, 12	3	158	0, 1, 0	1	0.788304910076	0.999202154184	3969	3945	26112
158, 157, 168	3	158	0, 1, 0	1	0.788304910076	0.999202154184	3969	3945	26112
158, 157, 229	3	158	0, 1, 0	1	0.787673282138	0.999202154184	3950	3926	26131
158, 157, 45	3	158	0, 1, 0	1	0.787207872079	0.999202154184	3936	3912	26145
158, 229, 12	3	158	0, 0, 0	1	0.788338153652	0.999434859213	1103	1086	28978
158, 229, 168	3	158	0, 0, 0	1	0.788338153652	0.999434859213	1103	1086	28978
158, 4, 12	3	158	0, 0, 0	1	0.788338153652	0.999434859213	1103	1086	28978
158, 4, 168	3	158	0, 0, 0	1	0.788338153652	0.999434859213	1103	1086	28978
158, 4, 229	3	158	0, 0, 0	1	0.788304910076	0.999434859213	1102	1085	28979
158, 4, 45	3	158	0, 0, 0	1	0.788238422925	0.999434859213	1100	1083	28981
229, 157, 12	3	229	0, 1, 0	1	0.7882716665	0.999168910608	3969	3944	26112
229, 157, 168	3	229	0, 1, 0	1	0.7882716665	0.999168910608	3969	3944	26112
229, 157, 45	3	229	0, 1, 0	1	0.784548386024	0.999368372062	3845	3826	26236
4, 157, 158, 12	4	4	0, 1, 0, 0	1	0.788338153652	0.999235397759	3969	3946	26112
4, 157, 158, 168	4	4	0, 1, 0, 0	1	0.788338153652	0.999235397759	3969	3946	26112
4, 157, 229, 12	4	4	0, 1, 0, 0	1	0.788338153652	0.999235397759	3969	3946	26112
4, 157, 229, 158	4	4	0, 1, 0, 0	1	0.788304910076	0.999235397759	3968	3945	26113
4, 157, 229, 168	4	4	0, 1, 0, 0	1	0.788338153652	0.999235397759	3969	3946	26112
4, 157, 229, 45	4	4	0, 1, 0, 0	1	0.788205179349	0.999235397759	3965	3942	26116
4, 157, 45, 12	4	4	0, 1, 0, 0	1	0.788338153652	0.999235397759	3969	3946	26112
4, 157, 45, 158	4	4	0, 1, 0, 0	1	0.788238422925	0.999235397759	3966	3943	26115
4, 157, 45, 168	4	4	0, 1, 0, 0	1	0.788338153652	0.999235397759	3969	3946	26112
45, 229, 158, 12	4	45	0, 0, 0, 0	1	0.788338153652	0.999434859213	1103	1086	28978
45, 229, 158, 168	4	45	0, 0, 0, 0	1	0.788338153652	0.999434859213	1103	1086	28978
45, 229, 158, 4	4	45	0, 0, 0, 0	1	0.788338153652	0.999434859213	1103	1086	28978
45, 229, 4, 12	4	45	0, 0, 0, 0	1	0.788338153652	0.999434859213	1103	1086	28978
45, 229, 4, 168	4	45	0, 0, 0, 0	1	0.788338153652	0.999434859213	1103	1086	28978
158, 157, 229, 12	4	158	0, 1, 0, 0	1	0.788304910076	0.999202154184	3969	3945	26112
158, 157, 229, 168	4	158	0, 1, 0, 0	1	0.788304910076	0.999202154184	3969	3945	26112
158, 157, 229, 45	4	158	0, 1, 0, 0	1	0.787939230744	0.999202154184	3958	3934	26123
158, 157, 45, 12	4	158	0, 1, 0, 0	1	0.788304910076	0.999202154184	3969	3945	26112
158, 157, 45, 168	4	158	0, 1, 0, 0	1	0.788304910076	0.999202154184	3969	3945	26112
158, 4, 229, 12	4	158	0, 0, 0, 0	1	0.788338153652	0.999434859213	1103	1086	28978
158, 4, 229, 168	4	158	0, 0, 0, 0	1	0.788338153652	0.999434859213	1103	1086	28978
158, 4, 45, 12	4	158	0, 0, 0, 0	1	0.788338153652	0.999434859213	1103	1086	28978
158, 4, 45, 168	4	158	0, 0, 0, 0	1	0.788338153652	0.999434859213	1103	1086	28978
229, 157, 45, 12	4	229	0, 1, 0, 0	1	0.7882716665	0.999168910608	3969	3944	26112
229, 157, 45, 168	4	229	0, 1, 0, 0	1	0.7882716665	0.999168910608	3969	3944	26112
