prefix	length	first	prediction	default	accuracy	upper_bound	num_captured	num_captured_correct	num_not_captured
	0	-1		1	0.638497652582	1.0	0	0	639
19,	1	19	1,	1	0.638497652582	1.0	56	56	583
26,	1	26	1,	1	0.638497652582	0.992175273865	47	42	592
29,	1	29	1,	1	0.638497652582	1.0	52	52	587
51,	1	51	0,	1	0.694835680751	1.0	36	36	603
53,	1	53	1,	1	0.638497652582	1.0	48	48	591
62,	1	62	0,	1	0.679186228482	0.990610328638	38	32	601
110,	1	110	1,	1	0.638497652582	1.0	46	46	593
115,	1	115	1,	1	0.638497652582	0.992175273865	50	45	589
134,	1	134	0,	1	0.69014084507	1.0	33	33	606
153,	1	153	0,	1	0.677621283255	1.0	25	25	614
176,	1	176	0,	1	0.682316118936	1.0	28	28	611
178,	1	178	0,	1	0.682316118936	1.0	28	28	611
198,	1	198	0,	1	0.680751173709	0.992175273865	37	32	602
224,	1	224	1,	1	0.638497652582	0.993740219092	47	43	592
239,	1	239	1,	1	0.638497652582	0.992175273865	46	41	593
281,	1	281	1,	1	0.638497652582	1.0	47	47	592
298,	1	298	1,	1	0.638497652582	0.990610328638	53	47	586
304,	1	304	1,	1	0.638497652582	1.0	59	59	580
314,	1	314	1,	1	0.638497652582	1.0	54	54	585
333,	1	333	1,	1	0.638497652582	1.0	61	61	578
339,	1	339	1,	1	0.638497652582	0.993740219092	48	44	591
346,	1	346	0,	1	0.674491392801	0.992175273865	33	28	606
362,	1	362	1,	1	0.638497652582	0.990610328638	53	47	586
372,	1	372	0,	1	0.677621283255	1.0	25	25	614
374,	1	374	0,	1	0.674491392801	0.995305164319	29	26	610
375,	1	375	1,	1	0.638497652582	0.992175273865	48	43	591
19, 0	2	19	1, 0	1	0.674491392801	0.992175273865	89	84	550
19, 110	2	19	1, 1	1	0.638497652582	1.0	101	101	538
19, 115	2	19	1, 1	1	0.638497652582	0.992175273865	98	93	541
19, 134	2	19	1, 0	1	0.69014084507	1.0	89	89	550
19, 135	2	19	1, 0	1	0.668231611894	0.990610328638	87	81	552
