prefix	length	first	prediction	default	accuracy	upper_bound	num_captured	num_captured_correct	num_not_captured
	0	-1		1	0.638497652582	1.0	0	0	639
19,	1	19	1,	1	0.638497652582	1.0	56	56	583
29,	1	29	1,	1	0.638497652582	1.0	52	52	587
51,	1	51	0,	1	0.694835680751	1.0	36	36	603
53,	1	53	1,	1	0.638497652582	1.0	48	48	591
110,	1	110	1,	1	0.638497652582	1.0	46	46	593
134,	1	134	0,	1	0.69014084507	1.0	33	33	606
153,	1	153	0,	1	0.677621283255	1.0	25	25	614
176,	1	176	0,	1	0.682316118936	1.0	28	28	611
178,	1	178	0,	1	0.682316118936	1.0	28	28	611
281,	1	281	1,	1	0.638497652582	1.0	47	47	592
304,	1	304	1,	1	0.638497652582	1.0	59	59	580
314,	1	314	1,	1	0.638497652582	1.0	54	54	585
333,	1	333	1,	1	0.638497652582	1.0	61	61	578
372,	1	372	0,	1	0.677621283255	1.0	25	25	614
