prefix	length	first	prediction	default	accuracy	upper_bound	objective	lower_bound	num_captured	num_captured_correct
	0	-1		1	0.638497652582	1.0	0	0	639	0.0
22,	1	22	0,	1	0.677621283255	1.0	25	25	614	0.0
29,	1	29	0,	1	0.69014084507	1.0	33	33	606	0.0
47,	1	47	1,	1	0.638497652582	1.0	56	56	583	0.0
64,	1	64	1,	1	0.638497652582	1.0	46	46	593	0.0
73,	1	73	1,	1	0.638497652582	1.0	52	52	587	0.0
111,	1	111	0,	1	0.677621283255	1.0	25	25	614	0.0
147,	1	147	1,	1	0.638497652582	1.0	54	54	585	0.0
180,	1	180	0,	1	0.694835680751	1.0	36	36	603	0.0
188,	1	188	0,	1	0.682316118936	1.0	28	28	611	0.0
211,	1	211	1,	1	0.638497652582	1.0	61	61	578	0.0
219,	1	219	1,	1	0.638497652582	1.0	47	47	592	0.0
242,	1	242	0,	1	0.682316118936	1.0	28	28	611	0.0
264,	1	264	1,	1	0.638497652582	1.0	48	48	591	0.0
359,	1	359	1,	1	0.638497652582	1.0	59	59	580	0.0
29, 22	2	29	0, 0	1	0.729264475743	1.0	58	58	581	0.0
47, 147	2	47	1, 1	1	0.638497652582	1.0	109	109	530	0.0
47, 211	2	47	1, 1	1	0.638497652582	1.0	116	116	523	0.0
47, 219	2	47	1, 1	1	0.638497652582	1.0	102	102	537	0.0
47, 22	2	47	1, 0	1	0.677621283255	1.0	81	81	558	0.0
47, 29	2	47	1, 0	1	0.69014084507	1.0	89	89	550	0.0
47, 64	2	47	1, 1	1	0.638497652582	1.0	101	101	538	0.0
47, 73	2	47	1, 1	1	0.638497652582	1.0	107	107	532	0.0
64, 22	2	64	1, 0	1	0.677621283255	1.0	71	71	568	0.0
64, 264	2	64	1, 1	1	0.638497652582	1.0	93	93	546	0.0
64, 29	2	64	1, 0	1	0.69014084507	1.0	79	79	560	0.0
73, 147	2	73	1, 1	1	0.638497652582	1.0	105	105	534	0.0
73, 22	2	73	1, 0	1	0.677621283255	1.0	77	77	562	0.0
73, 29	2	73	1, 0	1	0.69014084507	1.0	85	85	554	0.0
73, 64	2	73	1, 1	1	0.638497652582	1.0	98	98	541	0.0
111, 0	2	111	0, 1	1	0.677621283255	1.0	66	66	573	0.0
111, 22	2	111	0, 0	1	0.716744913928	1.0	50	50	589	0.0
111, 29	2	111	0, 0	1	0.729264475743	1.0	58	58	581	0.0
111, 47	2	111	0, 1	1	0.677621283255	1.0	81	81	558	0.0
111, 64	2	111	0, 1	1	0.677621283255	1.0	71	71	568	0.0
111, 73	2	111	0, 1	1	0.677621283255	1.0	77	77	562	0.0
147, 111	2	147	1, 0	1	0.677621283255	1.0	79	79	560	0.0
147, 22	2	147	1, 0	1	0.677621283255	1.0	79	79	560	0.0
147, 29	2	147	1, 0	1	0.69014084507	1.0	87	87	552	0.0
147, 64	2	147	1, 1	1	0.638497652582	1.0	100	100	539	0.0
180, 111	2	180	0, 0	1	0.733959311424	1.0	61	61	578	0.0
180, 147	2	180	0, 1	1	0.694835680751	1.0	90	90	549	0.0
180, 22	2	180	0, 0	1	0.733959311424	1.0	61	61	578	0.0
180, 29	2	180	0, 0	1	0.746478873239	1.0	69	69	570	0.0
180, 47	2	180	0, 1	1	0.694835680751	1.0	92	92	547	0.0
180, 64	2	180	0, 1	1	0.694835680751	1.0	82	82	557	0.0
180, 73	2	180	0, 1	1	0.694835680751	1.0	88	88	551	0.0
188, 111	2	188	0, 0	1	0.721439749609	1.0	53	53	586	0.0
188, 147	2	188	0, 1	1	0.682316118936	1.0	82	82	557	0.0
188, 180	2	188	0, 0	1	0.738654147105	1.0	64	64	575	0.0
188, 22	2	188	0, 0	1	0.721439749609	1.0	53	53	586	0.0
188, 29	2	188	0, 0	1	0.733959311424	1.0	61	61	578	0.0
188, 47	2	188	0, 1	1	0.682316118936	1.0	84	84	555	0.0
188, 64	2	188	0, 1	1	0.682316118936	1.0	74	74	565	0.0
188, 73	2	188	0, 1	1	0.682316118936	1.0	80	80	559	0.0
211, 111	2	211	1, 0	1	0.677621283255	1.0	86	86	553	0.0
211, 147	2	211	1, 1	1	0.638497652582	1.0	115	115	524	0.0
211, 180	2	211	1, 0	1	0.694835680751	1.0	97	97	542	0.0
211, 188	2	211	1, 0	1	0.682316118936	1.0	89	89	550	0.0
211, 22	2	211	1, 0	1	0.677621283255	1.0	86	86	553	0.0
211, 264	2	211	1, 1	1	0.638497652582	1.0	108	108	531	0.0
211, 29	2	211	1, 0	1	0.69014084507	1.0	94	94	545	0.0
211, 359	2	211	1, 1	1	0.638497652582	1.0	119	119	520	0.0
211, 64	2	211	1, 1	1	0.638497652582	1.0	107	107	532	0.0
211, 73	2	211	1, 1	1	0.638497652582	1.0	112	112	527	0.0
219, 111	2	219	1, 0	1	0.677621283255	1.0	72	72	567	0.0
219, 147	2	219	1, 1	1	0.638497652582	1.0	101	101	538	0.0
219, 180	2	219	1, 0	1	0.694835680751	1.0	83	83	556	0.0
219, 188	2	219	1, 0	1	0.682316118936	1.0	75	75	564	0.0
219, 211	2	219	1, 1	1	0.638497652582	1.0	108	108	531	0.0
219, 22	2	219	1, 0	1	0.677621283255	1.0	72	72	567	0.0
219, 264	2	219	1, 1	1	0.638497652582	1.0	94	94	545	0.0
219, 29	2	219	1, 0	1	0.69014084507	1.0	80	80	559	0.0
219, 64	2	219	1, 1	1	0.638497652582	1.0	93	93	546	0.0
219, 73	2	219	1, 1	1	0.638497652582	1.0	98	98	541	0.0
242, 111	2	242	0, 0	1	0.721439749609	1.0	53	53	586	0.0
242, 147	2	242	0, 1	1	0.682316118936	1.0	82	82	557	0.0
242, 180	2	242	0, 0	1	0.738654147105	1.0	64	64	575	0.0
242, 188	2	242	0, 0	1	0.72613458529	1.0	56	56	583	0.0
242, 211	2	242	0, 1	1	0.682316118936	1.0	89	89	550	0.0
242, 219	2	242	0, 1	1	0.682316118936	1.0	75	75	564	0.0
242, 22	2	242	0, 0	1	0.721439749609	1.0	53	53	586	0.0
242, 29	2	242	0, 0	1	0.733959311424	1.0	61	61	578	0.0
242, 47	2	242	0, 1	1	0.682316118936	1.0	84	84	555	0.0
242, 64	2	242	0, 1	1	0.682316118936	1.0	74	74	565	0.0
242, 73	2	242	0, 1	1	0.682316118936	1.0	80	80	559	0.0
264, 111	2	264	1, 0	1	0.677621283255	1.0	73	73	566	0.0
264, 147	2	264	1, 1	1	0.638497652582	1.0	101	101	538	0.0
264, 180	2	264	1, 0	1	0.694835680751	1.0	84	84	555	0.0
264, 188	2	264	1, 0	1	0.682316118936	1.0	76	76	563	0.0
264, 22	2	264	1, 0	1	0.677621283255	1.0	73	73	566	0.0
264, 242	2	264	1, 0	1	0.682316118936	1.0	76	76	563	0.0
264, 29	2	264	1, 0	1	0.69014084507	1.0	81	81	558	0.0
264, 47	2	264	1, 1	1	0.638497652582	1.0	104	104	535	0.0
264, 73	2	264	1, 1	1	0.638497652582	1.0	99	99	540	0.0
359, 111	2	359	1, 0	1	0.677621283255	1.0	84	84	555	0.0
359, 147	2	359	1, 1	1	0.638497652582	1.0	112	112	527	0.0
359, 180	2	359	1, 0	1	0.694835680751	1.0	95	95	544	0.0
359, 188	2	359	1, 0	1	0.682316118936	1.0	87	87	552	0.0
359, 219	2	359	1, 1	1	0.638497652582	1.0	106	106	533	0.0
359, 22	2	359	1, 0	1	0.677621283255	1.0	84	84	555	0.0
359, 242	2	359	1, 0	1	0.682316118936	1.0	87	87	552	0.0
359, 264	2	359	1, 1	1	0.638497652582	1.0	107	107	532	0.0
359, 29	2	359	1, 0	1	0.69014084507	1.0	92	92	547	0.0
359, 47	2	359	1, 1	1	0.638497652582	1.0	115	115	524	0.0
359, 64	2	359	1, 1	1	0.638497652582	1.0	105	105	534	0.0
359, 73	2	359	1, 1	1	0.638497652582	1.0	111	111	528	0.0
47, 147, 155	3	47	1, 1, 0	1	0.676056338028	1.0	133	133	506	0.0
47, 147, 22	3	47	1, 1, 0	1	0.677621283255	1.0	134	134	505	0.0
47, 147, 29	3	47	1, 1, 0	1	0.69014084507	1.0	142	142	497	0.0
47, 211, 111	3	47	1, 1, 0	1	0.677621283255	1.0	141	141	498	0.0
47, 211, 147	3	47	1, 1, 1	1	0.638497652582	1.0	169	169	470	0.0
47, 211, 180	3	47	1, 1, 0	1	0.694835680751	1.0	152	152	487	0.0
47, 211, 188	3	47	1, 1, 0	1	0.682316118936	1.0	144	144	495	0.0
47, 211, 22	3	47	1, 1, 0	1	0.677621283255	1.0	141	141	498	0.0
47, 211, 264	3	47	1, 1, 1	1	0.638497652582	1.0	163	163	476	0.0
47, 211, 29	3	47	1, 1, 0	1	0.69014084507	1.0	149	149	490	0.0
47, 211, 359	3	47	1, 1, 1	1	0.638497652582	1.0	174	174	465	0.0
47, 219, 142	3	47	1, 1, 0	1	0.688575899844	1.0	134	134	505	0.0
47, 219, 211	3	47	1, 1, 1	1	0.638497652582	1.0	162	162	477	0.0
47, 219, 22	3	47	1, 1, 0	1	0.677621283255	1.0	127	127	512	0.0
47, 219, 260	3	47	1, 1, 0	1	0.682316118936	1.0	130	130	509	0.0
47, 219, 289	3	47	1, 1, 0	1	0.679186228482	1.0	128	128	511	0.0
47, 219, 29	3	47	1, 1, 0	1	0.69014084507	1.0	135	135	504	0.0
47, 219, 293	3	47	1, 1, 0	1	0.693270735524	1.0	137	137	502	0.0
47, 219, 294	3	47	1, 1, 0	1	0.688575899844	1.0	134	134	505	0.0
47, 219, 295	3	47	1, 1, 0	1	0.682316118936	1.0	130	130	509	0.0
47, 219, 296	3	47	1, 1, 0	1	0.715179968701	1.0	151	151	488	0.0
47, 219, 64	3	47	1, 1, 1	1	0.638497652582	1.0	147	147	492	0.0
47, 219, 67	3	47	1, 1, 0	1	0.68544600939	1.0	132	132	507	0.0
47, 29, 22	3	47	1, 0, 0	1	0.729264475743	1.0	114	114	525	0.0
47, 64, 144	3	47	1, 1, 0	1	0.682316118936	1.0	129	129	510	0.0
47, 64, 208	3	47	1, 1, 0	1	0.680751173709	1.0	128	128	511	0.0
47, 64, 22	3	47	1, 1, 0	1	0.677621283255	1.0	126	126	513	0.0
47, 64, 262	3	47	1, 1, 0	1	0.688575899844	1.0	133	133	506	0.0
47, 64, 29	3	47	1, 1, 0	1	0.69014084507	1.0	134	134	505	0.0
47, 64, 291	3	47	1, 1, 0	1	0.688575899844	1.0	133	133	506	0.0
47, 64, 297	3	47	1, 1, 0	1	0.677621283255	1.0	126	126	513	0.0
47, 64, 301	3	47	1, 1, 0	1	0.682316118936	1.0	129	129	510	0.0
47, 64, 304	3	47	1, 1, 0	1	0.680751173709	1.0	128	128	511	0.0
47, 64, 305	3	47	1, 1, 0	1	0.716744913928	1.0	151	151	488	0.0
47, 73, 22	3	47	1, 1, 0	1	0.677621283255	1.0	132	132	507	0.0
47, 73, 29	3	47	1, 1, 0	1	0.69014084507	1.0	140	140	499	0.0
47, 73, 64	3	47	1, 1, 1	1	0.638497652582	1.0	152	152	487	0.0
64, 264, 111	3	64	1, 1, 0	1	0.677621283255	1.0	118	118	521	0.0
64, 264, 147	3	64	1, 1, 1	1	0.638497652582	1.0	146	146	493	0.0
64, 264, 188	3	64	1, 1, 0	1	0.682316118936	1.0	121	121	518	0.0
64, 264, 219	3	64	1, 1, 1	1	0.638497652582	1.0	139	139	500	0.0
64, 264, 22	3	64	1, 1, 0	1	0.677621283255	1.0	118	118	521	0.0
64, 264, 242	3	64	1, 1, 0	1	0.682316118936	1.0	121	121	518	0.0
64, 264, 268	3	64	1, 1, 0	1	0.677621283255	1.0	118	118	521	0.0
64, 264, 29	3	64	1, 1, 0	1	0.69014084507	1.0	126	126	513	0.0
64, 264, 47	3	64	1, 1, 1	1	0.638497652582	1.0	148	148	491	0.0
64, 264, 73	3	64	1, 1, 1	1	0.638497652582	1.0	144	144	495	0.0
64, 29, 22	3	64	1, 0, 0	1	0.729264475743	1.0	104	104	535	0.0
73, 147, 111	3	73	1, 1, 0	1	0.677621283255	1.0	130	130	509	0.0
73, 147, 22	3	73	1, 1, 0	1	0.677621283255	1.0	130	130	509	0.0
73, 147, 264	3	73	1, 1, 1	1	0.638497652582	1.0	151	151	488	0.0
73, 147, 29	3	73	1, 1, 0	1	0.69014084507	1.0	138	138	501	0.0
73, 147, 359	3	73	1, 1, 1	1	0.638497652582	1.0	163	163	476	0.0
73, 147, 47	3	73	1, 1, 1	1	0.638497652582	1.0	159	159	480	0.0
73, 147, 64	3	73	1, 1, 1	1	0.638497652582	1.0	151	151	488	0.0
73, 29, 22	3	73	1, 0, 0	1	0.729264475743	1.0	110	110	529	0.0
73, 64, 22	3	73	1, 1, 0	1	0.677621283255	1.0	123	123	516	0.0
73, 64, 29	3	73	1, 1, 0	1	0.69014084507	1.0	131	131	508	0.0
111, 0, 211	3	111	0, 1, 1	1	0.677621283255	1.0	117	117	522	0.0
111, 0, 219	3	111	0, 1, 1	1	0.677621283255	1.0	104	104	535	0.0
111, 0, 264	3	111	0, 1, 1	1	0.677621283255	1.0	103	103	536	0.0
111, 0, 359	3	111	0, 1, 1	1	0.677621283255	1.0	114	114	525	0.0
111, 22, 0	3	111	0, 0, 1	1	0.716744913928	1.0	91	91	548	0.0
111, 29, 0	3	111	0, 0, 1	1	0.729264475743	1.0	99	99	540	0.0
111, 29, 22	3	111	0, 0, 0	1	0.768388106416	1.0	83	83	556	0.0
111, 47, 0	3	111	0, 1, 1	1	0.677621283255	1.0	122	122	517	0.0
111, 47, 147	3	111	0, 1, 1	1	0.677621283255	1.0	134	134	505	0.0
111, 47, 22	3	111	0, 1, 0	1	0.716744913928	1.0	106	106	533	0.0
111, 47, 29	3	111	0, 1, 0	1	0.729264475743	1.0	114	114	525	0.0
111, 47, 64	3	111	0, 1, 1	1	0.677621283255	1.0	126	126	513	0.0
111, 47, 73	3	111	0, 1, 1	1	0.677621283255	1.0	132	132	507	0.0
111, 64, 0	3	111	0, 1, 1	1	0.677621283255	1.0	112	112	527	0.0
111, 64, 22	3	111	0, 1, 0	1	0.716744913928	1.0	96	96	543	0.0
111, 64, 29	3	111	0, 1, 0	1	0.729264475743	1.0	104	104	535	0.0
111, 73, 0	3	111	0, 1, 1	1	0.677621283255	1.0	118	118	521	0.0
111, 73, 211	3	111	0, 1, 1	1	0.677621283255	1.0	137	137	502	0.0
111, 73, 22	3	111	0, 1, 0	1	0.716744913928	1.0	102	102	537	0.0
111, 73, 264	3	111	0, 1, 1	1	0.677621283255	1.0	124	124	515	0.0
111, 73, 29	3	111	0, 1, 0	1	0.729264475743	1.0	110	110	529	0.0
111, 73, 64	3	111	0, 1, 1	1	0.677621283255	1.0	123	123	516	0.0
147, 111, 0	3	147	1, 0, 1	1	0.677621283255	1.0	120	120	519	0.0
147, 111, 22	3	147	1, 0, 0	1	0.716744913928	1.0	104	104	535	0.0
147, 111, 29	3	147	1, 0, 0	1	0.729264475743	1.0	112	112	527	0.0
147, 111, 64	3	147	1, 0, 1	1	0.677621283255	1.0	125	125	514	0.0
147, 29, 22	3	147	1, 0, 0	1	0.729264475743	1.0	112	112	527	0.0
147, 64, 22	3	147	1, 1, 0	1	0.677621283255	1.0	125	125	514	0.0
147, 64, 29	3	147	1, 1, 0	1	0.69014084507	1.0	133	133	506	0.0
147, 64, 47	3	147	1, 1, 1	1	0.638497652582	1.0	154	154	485	0.0
180, 111, 0	3	180	0, 0, 1	1	0.733959311424	1.0	102	102	537	0.0
180, 111, 22	3	180	0, 0, 0	1	0.773082942097	1.0	86	86	553	0.0
180, 111, 29	3	180	0, 0, 0	1	0.785602503912	1.0	94	94	545	0.0
180, 111, 47	3	180	0, 0, 1	1	0.733959311424	1.0	117	117	522	0.0
180, 111, 64	3	180	0, 0, 1	1	0.733959311424	1.0	107	107	532	0.0
180, 111, 73	3	180	0, 0, 1	1	0.733959311424	1.0	113	113	526	0.0
180, 147, 111	3	180	0, 1, 0	1	0.733959311424	1.0	115	115	524	0.0
180, 147, 22	3	180	0, 1, 0	1	0.733959311424	1.0	115	115	524	0.0
180, 147, 29	3	180	0, 1, 0	1	0.746478873239	1.0	123	123	516	0.0
180, 147, 359	3	180	0, 1, 1	1	0.694835680751	1.0	148	148	491	0.0
180, 147, 47	3	180	0, 1, 1	1	0.694835680751	1.0	145	145	494	0.0
180, 147, 64	3	180	0, 1, 1	1	0.694835680751	1.0	136	136	503	0.0
180, 147, 73	3	180	0, 1, 1	1	0.694835680751	1.0	141	141	498	0.0
180, 29, 22	3	180	0, 0, 0	1	0.785602503912	1.0	94	94	545	0.0
180, 47, 22	3	180	0, 1, 0	1	0.733959311424	1.0	117	117	522	0.0
180, 47, 29	3	180	0, 1, 0	1	0.746478873239	1.0	125	125	514	0.0
180, 64, 22	3	180	0, 1, 0	1	0.733959311424	1.0	107	107	532	0.0
180, 64, 264	3	180	0, 1, 1	1	0.694835680751	1.0	129	129	510	0.0
180, 64, 29	3	180	0, 1, 0	1	0.746478873239	1.0	115	115	524	0.0
180, 64, 47	3	180	0, 1, 1	1	0.694835680751	1.0	137	137	502	0.0
180, 73, 22	3	180	0, 1, 0	1	0.733959311424	1.0	113	113	526	0.0
180, 73, 29	3	180	0, 1, 0	1	0.746478873239	1.0	121	121	518	0.0
180, 73, 47	3	180	0, 1, 1	1	0.694835680751	1.0	143	143	496	0.0
180, 73, 64	3	180	0, 1, 1	1	0.694835680751	1.0	134	134	505	0.0
188, 111, 0	3	188	0, 0, 1	1	0.721439749609	1.0	94	94	545	0.0
188, 111, 22	3	188	0, 0, 0	1	0.760563380282	1.0	78	78	561	0.0
188, 111, 29	3	188	0, 0, 0	1	0.773082942097	1.0	86	86	553	0.0
188, 111, 47	3	188	0, 0, 1	1	0.721439749609	1.0	109	109	530	0.0
188, 111, 64	3	188	0, 0, 1	1	0.721439749609	1.0	99	99	540	0.0
188, 111, 73	3	188	0, 0, 1	1	0.721439749609	1.0	105	105	534	0.0
188, 147, 111	3	188	0, 1, 0	1	0.721439749609	1.0	107	107	532	0.0
188, 147, 22	3	188	0, 1, 0	1	0.721439749609	1.0	107	107	532	0.0
188, 147, 264	3	188	0, 1, 1	1	0.682316118936	1.0	129	129	510	0.0
188, 147, 29	3	188	0, 1, 0	1	0.733959311424	1.0	115	115	524	0.0
188, 147, 64	3	188	0, 1, 1	1	0.682316118936	1.0	128	128	511	0.0
188, 147, 73	3	188	0, 1, 1	1	0.682316118936	1.0	133	133	506	0.0
188, 180, 111	3	188	0, 0, 0	1	0.777777777778	1.0	89	89	550	0.0
188, 180, 147	3	188	0, 0, 1	1	0.738654147105	1.0	118	118	521	0.0
188, 180, 22	3	188	0, 0, 0	1	0.777777777778	1.0	89	89	550	0.0
188, 180, 235	3	188	0, 0, 1	1	0.738654147105	1.0	115	115	524	0.0
188, 180, 29	3	188	0, 0, 0	1	0.790297339593	1.0	97	97	542	0.0
188, 180, 47	3	188	0, 0, 1	1	0.738654147105	1.0	120	120	519	0.0
188, 180, 64	3	188	0, 0, 1	1	0.738654147105	1.0	110	110	529	0.0
188, 180, 73	3	188	0, 0, 1	1	0.738654147105	1.0	116	116	523	0.0
188, 180, 90	3	188	0, 0, 1	1	0.738654147105	1.0	105	105	534	0.0
188, 29, 22	3	188	0, 0, 0	1	0.773082942097	1.0	86	86	553	0.0
188, 47, 147	3	188	0, 1, 1	1	0.682316118936	1.0	137	137	502	0.0
188, 47, 219	3	188	0, 1, 1	1	0.682316118936	1.0	130	130	509	0.0
188, 47, 22	3	188	0, 1, 0	1	0.721439749609	1.0	109	109	530	0.0
188, 47, 29	3	188	0, 1, 0	1	0.733959311424	1.0	117	117	522	0.0
188, 47, 64	3	188	0, 1, 1	1	0.682316118936	1.0	129	129	510	0.0
188, 47, 73	3	188	0, 1, 1	1	0.682316118936	1.0	135	135	504	0.0
188, 64, 22	3	188	0, 1, 0	1	0.721439749609	1.0	99	99	540	0.0
188, 64, 29	3	188	0, 1, 0	1	0.733959311424	1.0	107	107	532	0.0
188, 73, 211	3	188	0, 1, 1	1	0.682316118936	1.0	140	140	499	0.0
188, 73, 219	3	188	0, 1, 1	1	0.682316118936	1.0	126	126	513	0.0
188, 73, 22	3	188	0, 1, 0	1	0.721439749609	1.0	105	105	534	0.0
188, 73, 264	3	188	0, 1, 1	1	0.682316118936	1.0	127	127	512	0.0
188, 73, 29	3	188	0, 1, 0	1	0.733959311424	1.0	113	113	526	0.0
188, 73, 64	3	188	0, 1, 1	1	0.682316118936	1.0	126	126	513	0.0
211, 111, 22	3	211	1, 0, 0	1	0.716744913928	1.0	111	111	528	0.0
211, 111, 29	3	211	1, 0, 0	1	0.729264475743	1.0	119	119	520	0.0
211, 111, 64	3	211	1, 0, 1	1	0.677621283255	1.0	132	132	507	0.0
211, 147, 111	3	211	1, 1, 0	1	0.677621283255	1.0	140	140	499	0.0
211, 147, 22	3	211	1, 1, 0	1	0.677621283255	1.0	140	140	499	0.0
211, 147, 29	3	211	1, 1, 0	1	0.69014084507	1.0	148	148	491	0.0
211, 147, 359	3	211	1, 1, 1	1	0.638497652582	1.0	172	172	467	0.0
211, 147, 64	3	211	1, 1, 1	1	0.638497652582	1.0	161	161	478	0.0
211, 180, 111	3	211	1, 0, 0	1	0.733959311424	1.0	122	122	517	0.0
211, 180, 147	3	211	1, 0, 1	1	0.694835680751	1.0	151	151	488	0.0
211, 180, 22	3	211	1, 0, 0	1	0.733959311424	1.0	122	122	517	0.0
211, 180, 29	3	211	1, 0, 0	1	0.746478873239	1.0	130	130	509	0.0
211, 180, 64	3	211	1, 0, 1	1	0.694835680751	1.0	143	143	496	0.0
211, 180, 73	3	211	1, 0, 1	1	0.694835680751	1.0	148	148	491	0.0
211, 188, 111	3	211	1, 0, 0	1	0.721439749609	1.0	114	114	525	0.0
211, 188, 147	3	211	1, 0, 1	1	0.682316118936	1.0	143	143	496	0.0
211, 188, 180	3	211	1, 0, 0	1	0.738654147105	1.0	125	125	514	0.0
211, 188, 22	3	211	1, 0, 0	1	0.721439749609	1.0	114	114	525	0.0
211, 188, 29	3	211	1, 0, 0	1	0.733959311424	1.0	122	122	517	0.0
211, 188, 64	3	211	1, 0, 1	1	0.682316118936	1.0	135	135	504	0.0
211, 264, 111	3	211	1, 1, 0	1	0.677621283255	1.0	133	133	506	0.0
211, 264, 147	3	211	1, 1, 1	1	0.638497652582	1.0	161	161	478	0.0
211, 264, 180	3	211	1, 1, 0	1	0.694835680751	1.0	144	144	495	0.0
211, 264, 188	3	211	1, 1, 0	1	0.682316118936	1.0	136	136	503	0.0
211, 264, 22	3	211	1, 1, 0	1	0.677621283255	1.0	133	133	506	0.0
211, 264, 29	3	211	1, 1, 0	1	0.69014084507	1.0	141	141	498	0.0
211, 29, 22	3	211	1, 0, 0	1	0.729264475743	1.0	119	119	520	0.0
211, 359, 111	3	211	1, 1, 0	1	0.677621283255	1.0	144	144	495	0.0
211, 359, 180	3	211	1, 1, 0	1	0.694835680751	1.0	155	155	484	0.0
211, 359, 188	3	211	1, 1, 0	1	0.682316118936	1.0	147	147	492	0.0
211, 359, 22	3	211	1, 1, 0	1	0.677621283255	1.0	144	144	495	0.0
211, 359, 264	3	211	1, 1, 1	1	0.638497652582	1.0	166	166	473	0.0
211, 359, 29	3	211	1, 1, 0	1	0.69014084507	1.0	152	152	487	0.0
211, 359, 64	3	211	1, 1, 1	1	0.638497652582	1.0	165	165	474	0.0
211, 64, 22	3	211	1, 1, 0	1	0.677621283255	1.0	132	132	507	0.0
211, 64, 264	3	211	1, 1, 1	1	0.638497652582	1.0	153	153	486	0.0
211, 64, 29	3	211	1, 1, 0	1	0.69014084507	1.0	140	140	499	0.0
211, 64, 47	3	211	1, 1, 1	1	0.638497652582	1.0	161	161	478	0.0
211, 73, 147	3	211	1, 1, 1	1	0.638497652582	1.0	165	165	474	0.0
211, 73, 22	3	211	1, 1, 0	1	0.677621283255	1.0	137	137	502	0.0
211, 73, 29	3	211	1, 1, 0	1	0.69014084507	1.0	145	145	494	0.0
211, 73, 47	3	211	1, 1, 1	1	0.638497652582	1.0	166	166	473	0.0
211, 73, 64	3	211	1, 1, 1	1	0.638497652582	1.0	158	158	481	0.0
219, 111, 22	3	219	1, 0, 0	1	0.716744913928	1.0	97	97	542	0.0
219, 111, 29	3	219	1, 0, 0	1	0.729264475743	1.0	105	105	534	0.0
219, 111, 47	3	219	1, 0, 1	1	0.677621283255	1.0	127	127	512	0.0
