prefix	length	first	prediction	default	objective	lower_bound	accuracy	upper_bound	num_captured	num_captured_correct	num_not_captured	curiosity
	0	-1		1	0.361502347418	0.0	0.638497652582	1.0	0	0	639	0.0
22,	1	22	0,	1	0.322378716745	0.0	0.677621283255	1.0	25	25	614	0.0
29,	1	29	0,	1	0.30985915493	0.0	0.69014084507	1.0	33	33	606	0.0
47,	1	47	1,	1	0.361502347418	0.0	0.638497652582	1.0	56	56	583	0.0
64,	1	64	1,	1	0.361502347418	0.0	0.638497652582	1.0	46	46	593	0.0
73,	1	73	1,	1	0.361502347418	0.0	0.638497652582	1.0	52	52	587	0.0
111,	1	111	0,	1	0.322378716745	0.0	0.677621283255	1.0	25	25	614	0.0
147,	1	147	1,	1	0.361502347418	0.0	0.638497652582	1.0	54	54	585	0.0
180,	1	180	0,	1	0.305164319249	0.0	0.694835680751	1.0	36	36	603	0.0
188,	1	188	0,	1	0.317683881064	0.0	0.682316118936	1.0	28	28	611	0.0
211,	1	211	1,	1	0.361502347418	0.0	0.638497652582	1.0	61	61	578	0.0
219,	1	219	1,	1	0.361502347418	0.0	0.638497652582	1.0	47	47	592	0.0
242,	1	242	0,	1	0.317683881064	0.0	0.682316118936	1.0	28	28	611	0.0
264,	1	264	1,	1	0.361502347418	0.0	0.638497652582	1.0	48	48	591	0.0
359,	1	359	1,	1	0.361502347418	0.0	0.638497652582	1.0	59	59	580	0.0
29, 22	2	29	0, 0	1	0.270735524257	0.0	0.729264475743	1.0	58	58	581	0.0
47, 147	2	47	1, 1	1	0.361502347418	0.0	0.638497652582	1.0	109	109	530	0.0
47, 211	2	47	1, 1	1	0.361502347418	0.0	0.638497652582	1.0	116	116	523	0.0
47, 219	2	47	1, 1	1	0.361502347418	0.0	0.638497652582	1.0	102	102	537	0.0
47, 22	2	47	1, 0	1	0.322378716745	0.0	0.677621283255	1.0	81	81	558	0.0
47, 29	2	47	1, 0	1	0.30985915493	0.0	0.69014084507	1.0	89	89	550	0.0
47, 64	2	47	1, 1	1	0.361502347418	0.0	0.638497652582	1.0	101	101	538	0.0
47, 73	2	47	1, 1	1	0.361502347418	0.0	0.638497652582	1.0	107	107	532	0.0
29, 22, 11	3	29	0, 0, 1	1	0.270735524257	0.00156494522692	0.729264475743	0.998435054773	100	99	539	0.01
47, 29, 22	3	47	1, 0, 0	1	0.270735524257	0.0	0.729264475743	1.0	114	114	525	0.0
47, 64, 144	3	47	1, 1, 0	1	0.317683881064	0.0	0.682316118936	1.0	129	129	510	0.0
47, 64, 208	3	47	1, 1, 0	1	0.319248826291	0.0	0.680751173709	1.0	128	128	511	0.0
47, 64, 22	3	47	1, 1, 0	1	0.322378716745	0.0	0.677621283255	1.0	126	126	513	0.0
47, 64, 262	3	47	1, 1, 0	1	0.311424100156	0.0	0.688575899844	1.0	133	133	506	0.0
47, 64, 264	3	47	1, 1, 1	1	0.361502347418	0.0	0.638497652582	1.0	148	148	491	0.0
47, 64, 29	3	47	1, 1, 0	1	0.30985915493	0.0	0.69014084507	1.0	134	134	505	0.0
