Zip,International,Admitted,Enrolled,ApplicantStatus,SexCode,School Type,RepeatingGrade,AdmissionsYr,BU Affiliation,SiblingConnection,InterviewRating,InterviewRating2,InterviewRating3,AppRecdDate,AppRecdMonth,InquiryDate,Ethnicity,Decision_Rating1,Decision_Rating2,Decision_Rating3,Decision_Rating4,SSATDate,SSATGrade,SSATVerbal,SSATQuantitative,SSATReading,SSATTotal
1844,,Y,Y,Enrolled,F,Other,N,2016,,N,,,,5/25/16,5,5/25/16,African American,,,,,,,,,,
1844,,N,N,Wait List,M,Other,N,2017,,Y,,,,12/31/16,12,11/4/16,African American,,,,,1/7/17,8,665,689,656,2010
2368,,N,N,Rejected,F,Private,N,2009,,N,4,4,3,10/28/08,10,6/30/08,African American,2.67,2.42,2.83,2.25,12/13/08,8,695,674,668,2037
2482,,Y,N,Decline,M,Public,N,2016,,N,,,,11/30/15,11,7/12/15,,5,4,4.3,4,11/14/15,8,782,800,764,2346
1844,,N,N,Wait List,F,Parochial,N,2012,,N,4.5,4.5,5,11/27/11,11,10/15/11,Middle Eastern American,3.08,3.42,3.83,3.42,1/7/12,8,683,716,683,2082
2140,,Y,N,Decline,M,Private,N,2013,,N,5,5,5,11/8/12,11,11/1/12,White/Caucasian,5,4.5,4.25,4.5,12/8/12,8,764,794,728,2286
2140,,Y,N,Decline,F,Private,N,2009,,N,4.5,4,4,12/15/08,12,10/1/08,White/Caucasian,4,4.13,4,4,11/8/08,8,800,788,743,2331
2148,,N,N,Rejected,M,Private,N,2006,,N,,,,1/18/06,1,10/27/05,Hispanic,3,5,5,13,11/17/05,8,800,785,758,2343
2127,,N,N,Rejected,F,Public,N,2011,,N,,,,1/30/11,1,9/14/10,African American: Somalian,2.17,2.67,2.67,2,1/26/11,8,659,644,650,1953
2445,,N,N,Rejected,M,International,N,2014,,N,,,,,1,5/30/14,,,,,,6/17/14,9,782,734,671,2187
2347,,N,N,Rejected,M,Private,N,2006,,N,,,,1/12/06,1,9/28/05,Cape Verdean,2,2,2,6,1/7/06,8,638,659,605,1902
2124,,Y,N,Decline,M,Private,N,2016,,N,,,,1/8/16,1,10/4/15,,2.7,3,4,2.7,1/9/16,8,710,656,671,2037
2139,,N,N,Rejected,F,Public,N,2005,,N,,,,1/19/05,1,9/16/04,African American,3,3,1,7,12/11/04,,271,278,283,832
2186,,N,N,Rejected,M,Public,N,2015,,N,4,4,5,11/11/14,11,9/9/14,African American,1.5,1.5,2.75,1.63,10/18/14,8,683,599,695,1977
2136,,N,N,Rejected,F,Public,N,2016,,N,,,,1/11/16,1,9/9/15,,2,3,2.3,2.3,1/9/16,8,581,704,647,1932
2125,,N,N,Rejected,M,Parochial,N,2011,,N,,,,1/28/11,1,1/10/11,African American,1,1.75,2,1,2/4/11,8,647,608,650,1905
2124,,N,N,Rejected,M,Public,N,2006,,N,,,,1/11/06,1,11/15/05,African American,1.5,3,1,5.5,2/4/06,8,626,593,557,1776
2472,,Y,N,Decline,M,Private,N,2010,,N,4,3.5,3.5,12/7/09,12,7/21/08,White/Caucasian,4.25,4.17,4.17,4.17,11/14/09,8,728,788,722,2238
2139,,N,N,Rejected,F,Private,N,2012,,N,4,4,4,12/29/11,12,12/29/11,African American,2.92,3.42,3.25,3.25,1/7/12,8,644,722,629,1995
2144,,Y,Y,Enrolled,M,Private,N,2015,,N,5,5,5,12/6/14,12,11/27/14,Caucasian,5,4.67,3.33,4.28,11/15/14,8,800,800,743,2343
2131,,N,N,Rejected,F,Private,N,2015,,N,4,4,3,11/17/14,11,11/4/14,Multiracial,2.67,3.92,4,3.25,1/10/15,8,647,659,638,1944
2151,,N,N,Rejected,F,Private,N,2009,,N,3,2,2.5,12/17/08,12,9/18/08,Hispanic: Colombian,2.33,3.27,3,2.52,11/15/08,8,632,731,632,1995
2138,,N,N,Rejected,M,Public,N,2006,,N,,,,1/3/06,1,9/19/05,African American,4,4,2,10,11/12/05,8,671,632,671,1974
2467,,Y,Y,Enrolled,M,Public,N,2016,,N,,,,1/22/16,1,9/10/15,,4.7,4.7,4,4.7,10/17/15,8,704,800,764,2268
2467,,N,N,Rejected,M,Public,N,2017,,Y,,,,12/7/16,12,9/8/16,,,,,,,,,,,
,Y,N,N,Rejected,F,International,Y,2008,,N,4,2,1,12/5/07,12,9/15/07,Asian: Chinese,1.3,3.5,1.8,1.5,1/12/08,11,548,797,614,1959
2465,,N,N,Rejected,M,Public,N,2013,,N,2,2,2,1/10/13,1,1/10/13,Middle Eastern,2.5,2.5,2,2,11/10/12,9,728,773,713,2214
2465,,N,N,Rejected,M,Public,N,2012,,N,4.5,4.5,2.5,10/24/11,10,9/21/11,Middle Eastern,3.17,2.42,2.33,2.67,11/12/11,8,698,782,686,2166
2186,,N,N,Rejected,F,Private,N,2014,,N,4,5,4,10/29/13,10,10/29/13,African American,2,2.5,2,2.25,1/4/14,8,626,647,581,1854
2136,,N,N,Rejected,M,Private,N,2011,,N,5,4,5,1/28/11,1,10/8/10,African American,1.83,2.5,2.83,2.08,1/8/11,8,674,665,695,2034
2180,,Y,Y,Enrolled,F,Public,N,2009,,N,4,4,4,10/15/08,10,9/8/08,Asian American,3.57,4.17,4,3.93,12/13/08,8,695,755,710,2160
2446,,Y,Y,Enrolled,M,Public,N,2017,BU Employee,N,,,,2/1/17,2,9/9/16,LatiN/Hispanic American,,,,,12/10/16,8,677,773,710,2160
2155,,N,N,Rejected,M,Private,N,2016,,N,,,,12/7/15,12,11/9/15,,3.7,2,2.7,2.7,11/14/15,8,773,728,746,2247
2458,,N,N,Rejected,M,Public,N,2010,BU Employee,N,2,3,4,11/30/09,11,2/11/07,White/Caucasian,2.5,2,2,2,12/12/09,8,620,641,632,1893
2045,,N,N,Rejected,F,Parochial,N,2014,,N,4,3,3,9/24/13,9,9/17/13,Caucasian,1.75,2,2,2,2/1/14,8,578,581,626,1785
2121,,N,N,Rejected,M,Private,N,2006,,N,,,,1/31/06,1,4/14/04,African American,3,4,3,10,1/7/06,8,716,665,668,2049
2026,,N,N,Wait List,M,Private,N,2013,,N,4,3,3,11/1/12,11,9/26/12,White/Caucasian,3.92,3.33,3.17,3.17,12/8/12,9,758,779,728,2265
2131,,N,N,Rejected,F,Parochial,N,2006,,N,,,,1/7/06,1,9/18/05,,4,3,1,8,12/10/05,8,581,548,656,1785
2131,,N,N,WL-Decline,M,Private,N,2013,,N,3,4,3,10/21/12,10,10/14/12,Multiracial,2.75,3.67,3.33,3.25,2/2/13,8,704,686,716,2106
2148,,Y,N,Decline,F,Public,N,2014,,N,4,4,4,11/1/13,11,8/31/13,African American,3.25,4.17,3.92,3.5,10/12/13,8,686,650,671,2007
2119,,N,N,Rejected,F,Public,N,2010,,N,3,3,3.5,1/7/10,1,9/14/09,African American: Somalian,1,1,1,1,12/12/09,8,620,623,596,1839
2476,,Y,Y,Enrolled,F,Public,N,2012,BU Employee,N,3,2.5,3,11/25/11,11,11/25/11,Multiracial,3,3.17,3.42,3.18,12/10/11,8,683,719,689,2091
2476,,Y,N,Decline,F,Public,N,2010,BU Employee,N,4.5,4,4,1/13/10,1,11/16/09,,4.92,4.5,3.67,4.25,12/12/09,8,800,788,761,2349
2474,,N,N,Wait List,M,Private,N,2016,,N,,,,1/5/16,1,10/28/15,,3.3,4,4,3.7,12/12/15,8,788,701,719,2208
2067,,N,N,Wait List,M,Public,N,2008,,N,5,5,5,1/15/08,1,10/28/07,African American,2.8,3.75,3.8,3.4,12/8/07,8,710,686,644,2040
2493,,Y,Y,Enrolled,M,Private,N,2008,,N,5,5,5,10/12/07,10,7/10/07,Hispanic,4.5,4.75,4.5,4.6,1/12/08,8,767,797,728,2292
2459,,N,N,Rejected,M,Private,N,2010,,N,2,2,2,1/14/10,1,12/9/09,Middle Eastern,1,1,1,1,1/9/10,9,575,620,599,1794
2131,,N,N,Rejected,F,Public,N,2012,,N,4,4,4,12/20/11,12,9/16/10,African American,2.17,2.75,3.33,2.75,12/14/11,8,632,731,614,1977
2141,,N,N,WL-Decline,F,Private,N,2011,,N,5,5,5,12/29/10,12,1/30/10,Multiracial: Hispanic/White,2.75,3.67,4.33,3.2,1/8/11,8,686,695,644,2025
2150,,Y,N,Decline,M,Private,N,2017,,N,,,,1/12/17,1,11/9/16,,,,,,12/10/16,8,800,728,698,2226
