total_time,evaluate_children_time,node_select_time,rule_evaluation_time,lower_bound_time,lower_bound_num,objective_time,tree_insertion_time,tree_insertion_num,permutation_map_insertion_time,permutation_map_insertion_num,current_lower_bound,tree_min_objective,tree_prefix_length,tree_num_nodes,tree_num_evaluated,queue_size,queue_min_length,pmap_size,pmap_null_num,pmap_discard_num,log_remaining_space_size,prefix_lengths
2.21729e-05,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,159,
0.000121117,0,0,0,0,0,0,0,1,0,0,0,0.447835,0,1,0,1,0,0,0,0,159,0:1;
0.00030303,0,3.09944e-06,0,1.90735e-06,3,2.00272e-05,2.14577e-06,3,3.21865e-05,2,0.322923,0.436499,1,3,0,2,0,2,0,0,159,0:1;1:2;
0.000380039,0,3.09944e-06,0,9.53674e-07,8,2.81334e-05,5.48363e-06,8,4.00543e-05,7,0.322923,0.434804,1,8,0,7,0,7,0,0,159,0:1;1:7;
0.000426054,0,3.09944e-06,0,2.14577e-06,10,3.21865e-05,5.48363e-06,9,4.19617e-05,8,0.322923,0.427869,1,9,0,8,0,8,0,0,159,0:1;1:8;
0.000456095,0,3.09944e-06,0,9.53674e-07,12,3.50475e-05,5.48363e-06,10,4.3869e-05,9,0.322923,0.400901,1,10,0,9,0,9,0,0,159,0:1;1:9;
0.000562191,0,3.09944e-06,0,2.14577e-06,16,4.29153e-05,7.39098e-06,14,7.10487e-05,13,0.322923,0.369463,1,14,0,13,0,13,0,0,159,0:1;1:13;
0.00159812,0.00139904,3.09944e-06,0.00136304,0,150,0.000452995,4.17233e-05,134,0.00019145,133,0.322923,0.369463,1,134,1,133,1,133,0,0,159,1:133;
0.00172114,0.00139904,3.09944e-06,0.00136304,0,150,0.000452995,4.17233e-05,134,0.00019145,133,0.322923,0.369463,1,134,1,133,1,133,0,0,22,1:130;
0.00237918,0.00195694,7.39098e-06,0.00191593,0,299,0.000643015,6.48499e-05,251,0.000322104,250,0.328847,0.359669,2,250,2,247,1,116,1,0,22,1:129;2:117;
0.00303912,0.00266194,7.39098e-06,0.00261593,9.53674e-07,422,0.000851631,9.25064e-05,357,0.000457764,356,0.328847,0.359669,2,356,3,353,1,222,1,0,22,1:128;2:223;
0.00322819,0.00266194,7.39098e-06,0.00261593,9.53674e-07,422,0.000851631,9.25064e-05,357,0.000457764,356,0.328847,0.359669,2,356,3,353,1,222,1,0,18,1:127;2:212;
0.00713301,0.00629663,1.33514e-05,0.00622678,1.90735e-06,1517,0.00225973,0.000226974,1074,0.00119781,1098,0.332546,0.357973,2,1071,11,1059,1,928,12,0,18,1:119;2:929;
0.00774312,0.00713181,1.33514e-05,0.00705671,9.53674e-07,1609,0.00243878,0.000241756,1161,0.00131989,1185,0.332546,0.357973,2,1158,12,1146,1,1015,12,0,18,1:118;2:1016;
0.00842905,0.00713181,1.33514e-05,0.00705671,9.53674e-07,1609,0.00243878,0.000241756,1161,0.00131989,1185,0.332546,0.357973,2,1158,12,1146,1,1015,12,0,17,1:117;2:967;
0.0210462,0.0196497,2.5034e-05,0.0195096,0,3750,0.00805807,0.000586748,2690,0.0032835,2872,0.332084,0.357973,2,2686,27,2658,1,2496,60,0,16,1:102;2:2496;
0.0214331,0.0200756,2.5034e-05,0.0199344,0,3851,0.00818539,0.000603914,2767,0.00335455,2958,0.332084,0.357973,2,2763,28,2735,1,2568,65,0,16,1:101;2:2573;
0.0220962,0.0200756,2.5034e-05,0.0199344,0,3851,0.00818539,0.000603914,2767,0.00335455,2958,0.332084,0.357973,2,2763,28,2735,1,2568,65,0,16,1:101;2:2573;
0.111709,0.108579,0.000189066,0.107814,9.53674e-07,30784,0.0376058,0.00254321,13256,0.0204594,20977,0.341553,0.357734,3,13224,216,13007,2,3796,1740,0,15,2:8721;3:4243;
0.112205,0.109145,0.000189066,0.108376,9.53674e-07,30877,0.0377638,0.00255322,13322,0.02054,21043,0.341553,0.357734,3,13290,217,13073,2,3862,1740,0,15,2:8720;3:4309;
0.118005,0.109145,0.000189066,0.108376,9.53674e-07,30877,0.0377638,0.00255322,13322,0.02054,21043,0.341553,0.357734,3,13290,217,13073,2,3862,1740,0,15,2:8678;3:4214;
0.118697,0.109719,0.000194073,0.108941,0,31147,0.0380034,0.00256848,13428,0.0206199,21158,0.33847,0.353573,3,13395,218,13176,2,3965,1743,0,15,2:8676;3:4320;
0.119027,0.110113,0.000194073,0.109334,9.53674e-07,31235,0.0381174,0.00257945,13502,0.0206864,21232,0.33847,0.353573,3,13469,219,13250,2,4039,1743,0,15,2:8675;3:4394;
0.121889,0.110113,0.000194073,0.109334,9.53674e-07,31235,0.0381174,0.00257945,13502,0.0206864,21232,0.33847,0.353573,3,13468,219,13250,2,4039,1743,0,14,2:8108;3:1126;
0.124189,0.112346,0.000198603,0.111548,0,32184,0.0389211,0.00264215,14036,0.021055,21807,0.334772,0.353573,3,14001,225,13776,2,4557,1759,0,14,2:8101;3:1660;
0.124566,0.112755,0.000198603,0.111953,0,32298,0.0390217,0.00267053,14121,0.021121,21897,0.334772,0.353573,3,14086,226,13861,2,4640,1761,0,14,2:8100;3:1745;
0.126851,0.112755,0.000198603,0.111953,0,32298,0.0390217,0.00267053,14121,0.021121,21897,0.334772,0.353573,3,14086,226,13861,2,4640,1761,0,14,2:8090;3:1745;
