total_time,evaluate_children_time,node_select_time,rule_evaluation_time,lower_bound_time,lower_bound_num,objective_time,tree_insertion_time,tree_insertion_num,permutation_map_insertion_time,permutation_map_insertion_num,current_lower_bound,tree_min_objective,tree_prefix_length,tree_num_nodes,tree_num_evaluated,queue_size,queue_min_length,pmap_size,pmap_null_num,pmap_discard_num,log_remaining_space_size,prefix_lengths
1.3113e-05,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,159,
4.60148e-05,0,0,0,0,0,0,0,1,0,0,0,0.447835,0,1,0,1,0,0,0,0,159,0:1;
0.000112057,0,2.86102e-06,0,9.53674e-07,3,5.96046e-06,0,3,1.5974e-05,2,0.322923,0.436499,1,3,0,2,0,2,0,0,159,0:1;1:2;
0.000184059,0,2.86102e-06,0,9.53674e-07,8,1.5974e-05,0,8,2.5034e-05,7,0.322923,0.434804,1,8,0,7,0,7,0,0,159,0:1;1:7;
0.000230074,0,2.86102e-06,0,9.53674e-07,10,2.21729e-05,9.53674e-07,10,2.69413e-05,9,0.322923,0.427869,1,10,0,9,0,9,0,0,159,0:1;1:9;
0.000253916,0,2.86102e-06,0,9.53674e-07,12,2.55108e-05,1.90735e-06,12,2.88486e-05,11,0.322923,0.400901,1,12,0,11,0,11,0,0,159,0:1;1:11;
0.000303984,0,2.86102e-06,0,9.53674e-07,16,3.14713e-05,1.90735e-06,16,3.48091e-05,15,0.322923,0.369463,1,16,0,15,0,15,0,0,159,0:1;1:15;
0.000777006,0.000708103,2.86102e-06,0.000695229,9.53674e-07,150,0.000202894,2.28882e-05,136,0.000100851,135,0.322923,0.369463,1,136,1,135,1,135,0,0,159,1:135;
0.000857115,0.000708103,2.86102e-06,0.000695229,9.53674e-07,150,0.000202894,2.28882e-05,136,0.000100851,135,0.322923,0.369463,1,136,1,135,1,135,0,0,22,1:130;
0.00183392,0.00160098,5.96046e-06,0.00158119,0,463,0.000510454,6.58035e-05,402,0.000271082,402,0.327923,0.360131,2,402,3,398,1,266,0,0,22,1:128;2:266;
0.00224304,0.00204992,5.96046e-06,0.00202727,0,586,0.000650167,7.72476e-05,508,0.000346422,510,0.327923,0.360131,2,508,4,504,1,372,0,0,22,1:127;2:372;
0.00239015,0.00204992,5.96046e-06,0.00202727,0,586,0.000650167,7.72476e-05,508,0.000346422,510,0.327923,0.360131,2,508,4,504,1,372,0,0,18,1:126;2:368;
0.017601,0.0171459,4.22001e-05,0.0170276,9.53674e-07,4975,0.00549459,0.000677824,3860,0.00362158,4275,0.328847,0.359669,2,3860,34,3825,1,3685,39,0,17,1:96;2:3720;
0.018816,0.0181859,4.22001e-05,0.0180647,0,5098,0.00607872,0.0006845,3948,0.00383639,4383,0.328847,0.359669,2,3948,35,3913,1,3770,42,0,17,1:95;2:3808;
0.020643,0.0181859,4.22001e-05,0.0180647,0,5098,0.00607872,0.0006845,3948,0.00383639,4383,0.328847,0.359669,2,3948,35,3913,1,3770,42,0,17,1:95;2:3742;
0.0403981,0.0376396,9.58443e-05,0.0374041,0,10908,0.0124075,0.00124454,7297,0.0080626,9364,0.331775,0.359515,2,7297,75,7221,1,6800,361,0,17,1:55;2:7091;
0.0408909,0.0383205,9.58443e-05,0.0380821,9.53674e-07,11017,0.0125563,0.00125074,7343,0.00817776,9470,0.331775,0.359515,2,7343,76,7267,1,6844,363,0,17,1:54;2:7137;
0.044687,0.0383205,9.58443e-05,0.0380821,9.53674e-07,11017,0.0125563,0.00125074,7343,0.00817776,9470,0.331775,0.359515,2,7343,76,7267,1,6844,363,0,17,1:54;2:6970;
0.046766,0.0402265,0.000105143,0.039973,9.53674e-07,11775,0.0132713,0.00128698,7638,0.00862861,10112,0.332084,0.358898,2,7638,81,7556,1,7117,385,0,17,1:49;2:7265;
0.0471461,0.0407143,0.000105143,0.0404589,0,11882,0.0133731,0.00129461,7695,0.00872159,10217,0.332084,0.358898,2,7695,82,7613,1,7159,400,0,17,1:48;2:7322;
0.048955,0.0407143,0.000105143,0.0404589,0,11882,0.0133731,0.00129461,7695,0.00872159,10217,0.332084,0.358898,2,7695,82,7613,1,7159,400,0,16,1:48;2:7237;
0.049052,0.0407143,0.00010705,0.0404589,0,11896,0.0134051,0.00129652,7703,0.00873423,10225,0.332084,0.357973,2,7703,82,7620,1,7165,402,0,16,1:48;2:7245;
0.0494089,0.0411434,0.00010705,0.0408828,9.53674e-07,11997,0.0135112,0.00131249,7760,0.00880933,10311,0.332084,0.357973,2,7760,83,7677,1,7204,420,0,16,1:47;2:7302;
0.0518191,0.0411434,0.00010705,0.0408828,9.53674e-07,11997,0.0135112,0.00131249,7760,0.00880933,10311,0.332084,0.357973,2,7760,83,7677,1,7204,420,0,15,1:46;2:7231;
0.082643,0.0717645,0.000216246,0.0713398,1.19209e-06,19493,0.023309,0.0023849,13428,0.017031,16633,0.333077,0.354652,3,13428,135,13292,1,12768,524,0,15,1:39;2:7612;3:5242;
0.0840201,0.0731943,0.000216246,0.0727668,1.19209e-06,19614,0.0234351,0.00239277,13526,0.0180609,16738,0.333077,0.354652,3,13526,136,13390,1,12866,524,0,15,1:39;2:7611;3:5340;
0.087698,0.0731943,0.000216246,0.0727668,1.19209e-06,19614,0.0234351,0.00239277,13526,0.0180609,16738,0.333077,0.354652,3,13526,136,13390,1,12866,524,0,15,1:39;2:7307;3:5045;
0.257803,0.242526,0.000857353,0.241097,9.53674e-07,74139,0.078732,0.00818801,50265,0.0586944,61012,0.333847,0.354035,3,50246,500,49745,1,49009,1120,0,14,1:37;2:7009;3:41701;
0.258238,0.243006,0.000857353,0.241574,0,74254,0.0788641,0.0082171,50342,0.0587626,61109,0.333847,0.354035,3,50323,501,49822,1,49084,1122,0,14,1:37;2:7008;3:41778;
0.270419,0.243006,0.000857353,0.241574,0,74254,0.0788641,0.0082171,50342,0.0587626,61109,0.333847,0.354035,3,50323,501,49822,1,49084,1122,0,14,1:34;2:6948;3:39738;
0.477126,0.448726,0.00175452,0.44603,9.53674e-07,141820,0.145526,0.0142913,87724,0.109996,115317,0.334618,0.354035,3,87646,922,86724,1,84582,3006,0,13,1:31;2:6624;3:76967;
0.535269,0.50645,0.00206923,0.503348,9.53674e-07,160380,0.164417,0.016058,98028,0.12403,130390,0.334772,0.353573,3,97938,1043,96894,1,94342,3550,0,13,1:31;2:6491;3:87271;
0.535677,0.506907,0.00206923,0.503802,9.53674e-07,160494,0.16455,0.0160711,98094,0.124115,130485,0.334772,0.353573,3,98004,1044,96960,1,94408,3550,0,13,1:31;2:6490;3:87337;
0.561678,0.506907,0.00206923,0.503802,9.53674e-07,160494,0.16455,0.0160711,98094,0.124115,130485,0.334772,0.353573,3,98004,1044,96960,1,94408,3550,0,13,1:31;2:6413;3:83110;
0.926679,0.870178,0.00365043,0.864682,9.53674e-07,281259,0.282082,0.0257313,155382,0.221359,227497,0.336005,0.353573,3,155190,1808,153382,1,146849,8397,0,13,1:25;2:5797;3:140154;
1.32428,1.26572,0.00555706,1.25759,9.53674e-07,419478,0.413084,0.0347764,211691,0.321614,337115,0.337238,0.353573,3,211393,2702,208691,1,195250,16305,0,13,1:21;2:4906;3:196358;
1.76144,1.70055,0.00776792,1.68959,0,556792,0.548233,0.0449109,271605,0.450482,446153,0.338231,0.353573,3,271224,3619,267605,1,247219,24250,0,13,1:20;2:4127;3:234783;4:21269;
2.18246,2.1189,0.010287,2.10523,0,696497,0.686196,0.0581374,355701,0.55134,555774,0.338539,0.353573,3,355241,4540,350701,1,328944,26621,0,12,1:19;2:3963;3:241770;4:97543;
2.62354,2.55683,0.0132866,2.54001,1.19209e-06,835365,0.829468,0.0717583,436123,0.661585,663933,0.338779,0.353573,3,435557,5434,430123,1,407161,28826,0,12,1:18;2:3902;3:246069;4:172728;
3.10232,3.03277,0.0159736,3.0131,0,973796,0.966192,0.0847116,518761,0.82494,770823,0.338847,0.353573,3,518097,6336,511761,1,488123,30502,0,12,1:18;2:3893;3:245363;4:255081;
3.49093,3.41868,0.0184534,3.39634,1.19209e-06,1108061,1.09355,0.095916,591126,0.917751,873795,0.339001,0.348556,4,590343,7193,583149,1,557813,33177,0,12,1:18;2:3809;3:247826;4:324091;
3.49144,3.41925,0.0184534,3.39691,9.53674e-07,1108174,1.09371,0.0959322,591189,0.91788,873880,0.339001,0.348556,4,590406,7194,583212,1,557874,33179,0,12,1:18;2:3809;3:247825;4:324154;
3.63109,3.41925,0.0184534,3.39691,9.53674e-07,1108174,1.09371,0.0959322,591189,0.91788,873880,0.339001,0.348556,4,590406,7194,583212,1,557874,33179,0,10,1:12;2:2949;3:181963;4:241841;
3.63919,3.42724,0.0185161,3.40483,0,1111386,1.09629,0.096149,592560,0.919851,876119,0.339001,0.348556,4,591771,7211,584560,1,559178,33246,0,10,1:12;2:2949;3:181940;4:243212;
4.0371,3.82212,0.0213962,3.79682,1.19209e-06,1249035,1.22612,0.107707,656568,1.0162,972300,0.339155,0.348556,4,655643,8075,647568,1,620447,35985,0,10,1:12;2:2871;3:183467;4:304771;
4.41271,4.19494,0.0240221,4.16705,9.53674e-07,1386703,1.35186,0.117678,718682,1.10497,1067823,0.33931,0.348556,4,717622,8940,708682,1,679452,39094,0,10,1:12;2:2783;3:185043;4:364397;
4.7875,4.56716,0.0264485,4.53667,1.19209e-06,1523589,1.47844,0.127455,783040,1.19301,1163523,0.33931,0.348556,4,781833,9793,772040,1,740586,42318,0,10,1:12;2:2783;3:184043;4:428755;
5.15572,4.93274,0.0289285,4.89967,0,1660711,1.60352,0.136239,841320,1.27938,1258211,0.339464,0.348556,4,839941,10621,829320,1,795238,45946,0,10,1:12;2:2710;3:184991;4:485160;
5.64205,5.41654,0.0313313,5.3809,9.53674e-07,1797633,1.72636,0.144932,898869,1.48848,1352732,0.339618,0.348556,4,897324,11455,885869,1,848843,49890,0,10,1:11;2:2647;3:186508;4:540256;
6.00533,5.77718,0.0338075,5.73901,0,1934172,1.85042,0.153885,958657,1.57061,1446815,0.339618,0.348556,4,956939,12282,944657,1,905006,53515,0,10,1:11;2:2647;3:185508;4:600044;
6.36507,6.13429,0.0362787,6.09362,0,2070873,1.97263,0.162491,1015903,1.6534,1540893,0.339772,0.348556,4,1014034,13131,1000903,1,958221,57546,0,10,1:11;2:2568;3:186786;4:655091;
6.73914,6.50569,0.0388064,6.46245,9.53674e-07,2207371,2.09814,0.171484,1074956,1.73789,1635147,0.339772,0.348556,4,1072918,13962,1058956,1,1013543,61277,0,10,1:11;2:2568;3:185786;4:714144;
7.10268,6.86647,0.0414324,6.8207,0,2344542,2.22175,0.179779,1130173,1.82244,1729814,0.339926,0.348556,4,1127975,14802,1113173,1,1064836,65201,0,10,1:11;2:2493;3:186827;4:767395;
7.46004,7.2212,0.043926,7.17289,0,2480477,2.34285,0.188201,1186470,1.9054,1822642,0.339926,0.348556,4,1184100,15630,1168470,1,1117356,68978,0,10,1:11;2:2493;3:185827;4:823692;
7.56015,7.32046,0.0446541,7.27145,0,2516928,2.37648,0.190567,1201986,1.9293,1847945,0.339926,0.348094,4,1199574,15857,1183716,1,1131980,69870,0,10,1:11;2:2493;3:185558;4:839208;
7.56057,7.32093,0.0446541,7.27191,1.19209e-06,2517039,2.37661,0.190571,1202039,1.92939,1848026,0.339926,0.348094,4,1199627,15858,1183769,1,1132033,69870,0,10,1:11;2:2493;3:185557;4:839261;
7.80702,7.32093,0.0446541,7.27191,1.19209e-06,2517039,2.37661,0.190571,1202039,1.92939,1848026,0.339926,0.348094,4,1199627,15858,1183769,1,1132033,69870,0,10,1:11;2:2375;3:173158;4:619519;
8.08109,7.59291,0.0466089,7.54194,0,2616319,2.465,0.198046,1243936,1.99566,1915843,0.339926,0.348094,4,1241424,16488,1224936,1,1171163,72637,0,10,1:11;2:2375;3:172428;4:661416;
8.42517,7.93435,0.0491059,7.88104,9.53674e-07,2752689,2.57644,0.206772,1295168,2.07913,2007447,0.34008,0.348094,4,1292495,17327,1275168,1,1218669,76363,0,10,1:11;2:2309;3:173076;4:711066;
8.78177,8.28819,0.0517228,8.23225,0,2887362,2.69616,0.215049,1349098,2.16467,2098640,0.34008,0.348094,4,1346261,18163,1328098,1,1268849,80113,0,10,1:11;2:2309;3:172076;4:764996;
9.12902,8.63288,0.0541489,8.57454,0,3023342,2.81442,0.222169,1397409,2.24627,2190423,0.340234,0.348094,4,1394391,18982,1375409,1,1313237,84036,0,10,1:11;2:2228;3:172911;4:811553;
9.48856,8.98959,0.0568421,8.92869,9.53674e-07,3159444,2.93577,0.230116,1448984,2.33164,2281627,0.340234,0.348094,4,1445798,19814,1425984,1,1360621,88227,0,10,1:11;2:2228;3:171911;4:863128;
9.84711,9.34541,0.0594215,9.28201,0,3295104,3.05695,0.237623,1500202,2.41736,2373462,0.340234,0.348094,4,1496858,20656,1476202,1,1407833,92233,0,10,1:11;2:2228;3:170911;4:914346;
10.2173,9.71247,0.0623624,9.64629,0,3431005,3.18256,0.245075,1548712,2.50567,2463660,0.340388,0.348094,4,1545198,21486,1523712,1,1451588,96988,0,10,1:10;2:2184;3:171222;4:961590;
10.5662,10.0587,0.064919,9.99007,0,3565753,3.30006,0.252394,1597652,2.58932,2554067,0.340388,0.348094,4,1593978,22326,1571652,1,1496347,101169,0,10,1:10;2:2184;3:170222;4:1010530;
10.9186,10.4084,0.0675449,10.3372,9.53674e-07,3701740,3.41968,0.259104,1642439,2.67362,2643951,0.340542,0.348094,4,1638574,23135,1615439,1,1536387,105916,0,10,1:9;2:2129;3:170604;4:1053991;
11.2695,10.7565,0.0701232,10.6828,0,3835918,3.53832,0.266197,1689433,2.7566,2732490,0.340542,0.348094,4,1685384,23951,1661433,1,1578812,110485,0,10,1:9;2:2129;3:169604;4:1100985;
11.6243,11.1084,0.0728955,11.0321,1.19209e-06,3971307,3.65823,0.273116,1734871,2.84227,2821949,0.340542,0.348094,4,1730625,24754,1705871,1,1619461,115274,0,10,1:9;2:2129;3:168604;4:1146423;
12.2504,11.7318,0.0754745,11.653,9.53674e-07,4107070,3.77584,0.279649,1780014,3.20298,2911076,0.340697,0.348094,4,1775621,25607,1750014,1,1659408,120470,0,10,1:9;2:2048;3:169310;4:1189941;
