total_time,evaluate_children_time,node_select_time,rule_evaluation_time,lower_bound_time,lower_bound_num,objective_time,tree_insertion_time,tree_insertion_num,permutation_map_insertion_time,permutation_map_insertion_num,current_lower_bound,tree_min_objective,tree_prefix_length,tree_num_nodes,tree_num_evaluated,queue_size,queue_min_length,pmap_size,pmap_null_num,pmap_discard_num,log_remaining_space_size,prefix_lengths
7.86781e-06,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,159,
5.79357e-05,0,0,0,0,0,0,0,1,0,0,0,0.447835,0,1,0,1,0,0,0,0,159,0:1;
0.000151873,0,2.14577e-06,0,1.90735e-06,3,1.0252e-05,1.90735e-06,3,1.5974e-05,2,0.005,0.436499,1,3,0,2,0,2,0,0,159,0:1;1:2;
0.000221968,0,2.14577e-06,0,9.53674e-07,8,1.95503e-05,5.00679e-06,8,1.90735e-05,7,0.005,0.434804,1,8,0,7,0,7,0,0,172,0:1;1:7;
0.000263929,0,2.14577e-06,0,9.53674e-07,10,2.64645e-05,6.19888e-06,10,2.12193e-05,9,0.005,0.427869,1,10,0,9,0,9,0,0,172,0:1;1:9;
0.000303984,0,2.14577e-06,0,9.53674e-07,12,3.02792e-05,6.19888e-06,12,2.55108e-05,11,0.005,0.400901,1,12,0,11,0,11,0,0,172,0:1;1:11;
0.000354052,0,2.14577e-06,0,9.53674e-07,16,3.60012e-05,8.10623e-06,16,2.86102e-05,15,0.005,0.369463,1,16,0,15,0,15,0,0,172,0:1;1:15;
0.00143504,0.00134683,2.14577e-06,0.00132585,9.53674e-07,150,0.000333309,3.98159e-05,150,0.000133514,149,0.005,0.369463,1,150,1,149,1,149,0,0,172,1:149;
0.00187993,0.00134683,2.14577e-06,0.00132585,9.53674e-07,150,0.000333309,3.98159e-05,150,0.000133514,149,0.005,0.369463,1,150,1,149,1,149,0,0,151,1:146;
0.00425982,0.0035708,1.0252e-05,0.00353003,9.53674e-07,463,0.000936031,0.000115395,447,0.0004282,447,0.0116952,0.368915,2,447,3,443,1,297,0,0,151,1:144;2:297;
0.00526595,0.00467372,1.0252e-05,0.00462604,9.53674e-07,594,0.00119352,0.000143051,576,0.000578165,576,0.0116952,0.368915,2,576,4,572,1,426,0,0,150,1:143;2:426;
0.00675893,0.00467372,1.0252e-05,0.00462604,9.53674e-07,594,0.00119352,0.000143051,576,0.000578165,576,0.0116952,0.368915,2,576,4,572,1,426,0,0,150,1:143;2:424;
0.00792694,0.00571489,1.40667e-05,0.00566006,1.90735e-06,759,0.00149941,0.000170231,725,0.000712395,728,0.0123116,0.366603,2,725,5,719,1,575,0,0,150,1:142;2:573;
0.00885487,0.0067358,1.40667e-05,0.00667405,9.53674e-07,888,0.00175619,0.000187635,851,0.000823975,855,0.0123116,0.366603,2,851,6,845,1,701,0,0,150,1:141;2:699;
0.0110369,0.0067358,1.40667e-05,0.00667405,9.53674e-07,888,0.00175619,0.000187635,851,0.000823975,855,0.0123116,0.366603,2,851,6,845,1,701,0,0,149,1:141;2:696;
0.015276,0.0108488,2.19345e-05,0.010761,9.53674e-07,1496,0.00288129,0.000307322,1408,0.00139475,1430,0.0146232,0.360131,2,1408,10,1397,1,1253,5,0,149,1:137;2:1253;
